City,State,County,loc
HOLTSVILLE,NY,SUFFOLK,"HOLTSVILLE,NY"
ADJUNTAS,PR,ADJUNTAS,"ADJUNTAS,PR"
AGUADA,PR,AGUADA,"AGUADA,PR"
AGUADILLA,PR,AGUADILLA,"AGUADILLA,PR"
MARICAO,PR,MARICAO,"MARICAO,PR"
ANASCO,PR,ANASCO,"ANASCO,PR"
ANGELES,PR,UTUADO,"ANGELES,PR"
ARECIBO,PR,ARECIBO,"ARECIBO,PR"
BAJADERO,PR,ARECIBO,"BAJADERO,PR"
BARCELONETA,PR,BARCELONETA,"BARCELONETA,PR"
BOQUERON,PR,CABO ROJO,"BOQUERON,PR"
CABO ROJO,PR,CABO ROJO,"CABO ROJO,PR"
PENUELAS,PR,PENUELAS,"PENUELAS,PR"
CAMUY,PR,CAMUY,"CAMUY,PR"
CASTANER,PR,LARES,"CASTANER,PR"
ROSARIO,PR,SAN GERMAN,"ROSARIO,PR"
SABANA GRANDE,PR,SABANA GRANDE,"SABANA GRANDE,PR"
CIALES,PR,CIALES,"CIALES,PR"
UTUADO,PR,UTUADO,"UTUADO,PR"
DORADO,PR,DORADO,"DORADO,PR"
ENSENADA,PR,GUANICA,"ENSENADA,PR"
FLORIDA,PR,FLORIDA,"FLORIDA,PR"
GARROCHALES,PR,ARECIBO,"GARROCHALES,PR"
GUANICA,PR,GUANICA,"GUANICA,PR"
GUAYANILLA,PR,GUAYANILLA,"GUAYANILLA,PR"
HATILLO,PR,HATILLO,"HATILLO,PR"
HORMIGUEROS,PR,HORMIGUEROS,"HORMIGUEROS,PR"
ISABELA,PR,ISABELA,"ISABELA,PR"
JAYUYA,PR,JAYUYA,"JAYUYA,PR"
LAJAS,PR,LAJAS,"LAJAS,PR"
LARES,PR,LARES,"LARES,PR"
LAS MARIAS,PR,LAS MARIAS,"LAS MARIAS,PR"
MANATI,PR,MANATI,"MANATI,PR"
MOCA,PR,MOCA,"MOCA,PR"
RINCON,PR,RINCON,"RINCON,PR"
QUEBRADILLAS,PR,QUEBRADILLAS,"QUEBRADILLAS,PR"
MAYAGUEZ,PR,MAYAGUEZ,"MAYAGUEZ,PR"
SAN GERMAN,PR,SAN GERMAN,"SAN GERMAN,PR"
SAN SEBASTIAN,PR,SAN SEBASTIAN,"SAN SEBASTIAN,PR"
MOROVIS,PR,MOROVIS,"MOROVIS,PR"
SABANA HOYOS,PR,ARECIBO,"SABANA HOYOS,PR"
SAN ANTONIO,PR,AGUADILLA,"SAN ANTONIO,PR"
VEGA ALTA,PR,VEGA ALTA,"VEGA ALTA,PR"
VEGA BAJA,PR,VEGA BAJA,"VEGA BAJA,PR"
YAUCO,PR,YAUCO,"YAUCO,PR"
AGUAS BUENAS,PR,AGUAS BUENAS,"AGUAS BUENAS,PR"
AGUIRRE,PR,SALINAS,"AGUIRRE,PR"
AIBONITO,PR,AIBONITO,"AIBONITO,PR"
MAUNABO,PR,MAUNABO,"MAUNABO,PR"
ARROYO,PR,ARROYO,"ARROYO,PR"
MERCEDITA,PR,PONCE,"MERCEDITA,PR"
PONCE,PR,PONCE,"PONCE,PR"
NAGUABO,PR,NAGUABO,"NAGUABO,PR"
NARANJITO,PR,NARANJITO,"NARANJITO,PR"
OROCOVIS,PR,OROCOVIS,"OROCOVIS,PR"
PALMER,PR,RIO GRANDE,"PALMER,PR"
PATILLAS,PR,PATILLAS,"PATILLAS,PR"
CAGUAS,PR,CAGUAS,"CAGUAS,PR"
CANOVANAS,PR,CANOVANAS,"CANOVANAS,PR"
CEIBA,PR,CEIBA,"CEIBA,PR"
CAYEY,PR,CAYEY,"CAYEY,PR"
FAJARDO,PR,FAJARDO,"FAJARDO,PR"
CIDRA,PR,CIDRA,"CIDRA,PR"
PUERTO REAL,PR,FAJARDO,"PUERTO REAL,PR"
PUNTA SANTIAGO,PR,HUMACAO,"PUNTA SANTIAGO,PR"
ROOSEVELT ROADS,PR,CEIBA,"ROOSEVELT ROADS,PR"
RIO BLANCO,PR,NAGUABO,"RIO BLANCO,PR"
RIO GRANDE,PR,RIO GRANDE,"RIO GRANDE,PR"
SALINAS,PR,SALINAS,"SALINAS,PR"
