City,State,total_business
HOLTSVILLE,NY,2229
ADJUNTAS,PR,14
AGUADA,PR,1452
AGUADILLA,PR,466
MARICAO,PR,423
ANASCO,PR,41
ANGELES,PR,6
ARECIBO,PR,4222
BAJADERO,PR,33
BARCELONETA,PR,4359
BOQUERON,PR,49
CABO ROJO,PR,73
PENUELAS,PR,64
CAMUY,PR,13
CASTANER,PR,207
ROSARIO,PR,9
SABANA GRANDE,PR,10
CIALES,PR,4512
UTUADO,PR,20
DORADO,PR,1611
ENSENADA,PR,148
FLORIDA,PR,4359
GARROCHALES,PR,18
GUANICA,PR,7
GUAYANILLA,PR,18
HATILLO,PR,40
HORMIGUEROS,PR,406
ISABELA,PR,1684
JAYUYA,PR,27
LAJAS,PR,1661
LARES,PR,2934
LAS MARIAS,PR,1782
MANATI,PR,4488
MOCA,PR,1625
RINCON,PR,526
QUEBRADILLAS,PR,19
MAYAGUEZ,PR,541
SAN GERMAN,PR,1677
SAN SEBASTIAN,PR,1765
MOROVIS,PR,7
SABANA HOYOS,PR,246
SAN ANTONIO,PR,81
VEGA ALTA,PR,164
VEGA BAJA,PR,99
YAUCO,PR,60
AGUAS BUENAS,PR,26
AGUIRRE,PR,168
AIBONITO,PR,18
MAUNABO,PR,36
ARROYO,PR,3842
MERCEDITA,PR,38
PONCE,PR,231
NAGUABO,PR,13
NARANJITO,PR,4000
OROCOVIS,PR,10
PALMER,PR,33
PATILLAS,PR,3787
CAGUAS,PR,1527
CANOVANAS,PR,256
CEIBA,PR,3586
CAYEY,PR,90
FAJARDO,PR,369
CIDRA,PR,3873
PUERTO REAL,PR,315
PUNTA SANTIAGO,PR,23
ROOSEVELT ROADS,PR,428
RIO BLANCO,PR,563
RIO GRANDE,PR,3607
SALINAS,PR,4006
SAN LORENZO,PR,3745
SANTA ISABEL,PR,4453
VIEQUES,PR,3552
VILLALBA,PR,329
YABUCOA,PR,7
COAMO,PR,14
LAS PIEDRAS,PR,3632
LOIZA,PR,9
LUQUILLO,PR,103
CULEBRA,PR,76
JUNCOS,PR,3686
GURABO,PR,1821
COTO LAUREL,PR,281
COMERIO,PR,3952
COROZAL,PR,4050
GUAYAMA,PR,1040
LA PLATA,PR,19
HUMACAO,PR,334
BARRANQUITAS,PR,425
JUANA DIAZ,PR,22
ST THOMAS,VI,401
CHRISTIANSTED,VI,74
ST JOHN,VI,337
FREDERIKSTED,VI,22
KINGSHILL,VI,27
SAN JUAN,PR,2401
FORT BUCHANAN,PR,13
TOA BAJA,PR,50
SABANA SECA,PR,2171
TOA ALTA,PR,8
BAYAMON,PR,2447
CATANO,PR,2293
GUAYNABO,PR,2492
TRUJILLO ALTO,PR,2449
SAINT JUST,PR,12
CAROLINA,PR,2306
AGAWAM,MA,1353
AMHERST,MA,543
BARRE,MA,133
BELCHERTOWN,MA,621
BLANDFORD,MA,2112
BONDSVILLE,MA,441
BRIMFIELD,MA,256
CHESTER,MA,37
CHESTERFIELD,MA,162
CHICOPEE,MA,1297
CUMMINGTON,MA,67
EASTHAMPTON,MA,1041
EAST LONGMEADOW,MA,507
EAST OTIS,MA,44
FEEDING HILLS,MA,478
GILBERTVILLE,MA,154
GOSHEN,MA,316
GRANBY,MA,1095
GRANVILLE,MA,208
HADLEY,MA,628
HAMPDEN,MA,951
HARDWICK,MA,129
HATFIELD,MA,562
HAYDENVILLE,MA,18
HOLYOKE,MA,1310
HUNTINGTON,MA,2163
LEEDS,MA,37
LEVERETT,MA,515
LUDLOW,MA,1086
MONSON,MA,375
NORTH AMHERST,MA,224
NORTHAMPTON,MA,690
FLORENCE,MA,170
NORTH HATFIELD,MA,504
OAKHAM,MA,243
PALMER,MA,397
PLAINFIELD,MA,80
RUSSELL,MA,279
SHUTESBURY,MA,364
SOUTHAMPTON,MA,1073
SOUTH BARRE,MA,140
SOUTH HADLEY,MA,1143
SOUTHWICK,MA,935
THORNDIKE,MA,424
THREE RIVERS,MA,79
WALES,MA,225
WARE,MA,2221
WARREN,MA,282
WEST CHESTERFIELD,MA,79
WESTFIELD,MA,987
WEST HATFIELD,MA,52
WEST SPRINGFIELD,MA,1287
WEST WARREN,MA,274
WHATELY,MA,505
WHEELWRIGHT,MA,144
WILBRAHAM,MA,278
WILLIAMSBURG,MA,438
WORONOCO,MA,409
WORTHINGTON,MA,44
SPRINGFIELD,MA,2762
LONGMEADOW,MA,1325
INDIAN ORCHARD,MA,534
PITTSFIELD,MA,344
ADAMS,MA,167
ASHLEY FALLS,MA,47
BECKET,MA,791
BERKSHIRE,MA,8403
CHESHIRE,MA,316
DALTON,MA,309
GLENDALE,MA,16
GREAT BARRINGTON,MA,190
HINSDALE,MA,333
HOUSATONIC,MA,86
LANESBORO,MA,286
LEE,MA,350
LENOX,MA,363
LENOX DALE,MA,73
MIDDLEFIELD,MA,99
MILL RIVER,MA,155
MONTEREY,MA,184
NORTH ADAMS,MA,122
NORTH EGREMONT,MA,203
OTIS,MA,94
RICHMOND,MA,353
SANDISFIELD,MA,89
SAVOY,MA,842
SHEFFIELD,MA,161
SOUTH EGREMONT,MA,9
SOUTHFIELD,MA,769
SOUTH LEE,MA,57
STOCKBRIDGE,MA,244
TYRINGHAM,MA,222
WEST STOCKBRIDGE,MA,391
WILLIAMSTOWN,MA,602
WINDSOR,MA,174
GREENFIELD,MA,224
ASHFIELD,MA,182
ATHOL,MA,104
BERNARDSTON,MA,190
BUCKLAND,MA,160
CHARLEMONT,MA,55
COLRAIN,MA,186
CONWAY,MA,357
DEERFIELD,MA,855
DRURY,MA,112
ERVING,MA,947
HEATH,MA,72
LAKE PLEASANT,MA,217
MILLERS FALLS,MA,213
MONROE BRIDGE,MA,117
MONTAGUE,MA,895
GILL,MA,186
NEW SALEM,MA,6076
NORTHFIELD,MA,191
ORANGE,MA,84
PETERSHAM,MA,1554
ROWE,MA,48
ROYALSTON,MA,178
SHELBURNE FALLS,MA,19
SOUTH DEERFIELD,MA,73
SUNDERLAND,MA,554
TURNERS FALLS,MA,128
WARWICK,MA,104
WENDELL,MA,170
WENDELL DEPOT,MA,11
FITCHBURG,MA,272
ASHBURNHAM,MA,452
ASHBY,MA,425
AYER,MA,849
DEVENS,MA,788
BALDWINVILLE,MA,90
EAST TEMPLETON,MA,39
GARDNER,MA,199
WESTMINSTER,MA,463
GROTON,MA,790
HARVARD,MA,943
HUBBARDSTON,MA,242
LEOMINSTER,MA,630
LITTLETON,MA,995
LUNENBURG,MA,278
PEPPERELL,MA,94
SHIRLEY,MA,712
STILL RIVER,MA,990
TEMPLETON,MA,181
TOWNSEND,MA,547
WEST GROTON,MA,3739
WEST TOWNSEND,MA,27
WINCHENDON,MA,209
WINCHENDON SPRINGS,MA,221
AUBURN,MA,1298
BERLIN,MA,1581
BLACKSTONE,MA,333
BOYLSTON,MA,4080
BROOKFIELD,MA,290
CHARLTON,MA,943
CHARLTON CITY,MA,943
CHARLTON DEPOT,MA,990
CLINTON,MA,1248
EAST BROOKFIELD,MA,415
DOUGLAS,MA,544
EAST PRINCETON,MA,604
FISKDALE,MA,132
GRAFTON,MA,1624
HOLDEN,MA,1068
HOLLAND,MA,247
JEFFERSON,MA,58
LANCASTER,MA,965
LEICESTER,MA,1131
LINWOOD,MA,72
MANCHAUG,MA,87
MILLBURY,MA,1369
MILLVILLE,MA,274
NEW BRAINTREE,MA,154
NORTHBOROUGH,MA,419
NORTHBRIDGE,MA,1467
NORTH BROOKFIELD,MA,223
NORTH GRAFTON,MA,1582
NORTH OXFORD,MA,65
NORTH UXBRIDGE,MA,817
OXFORD,MA,933
PRINCETON,MA,609
ROCHDALE,MA,387
RUTLAND,MA,2473
SHREWSBURY,MA,1545
SOUTHBRIDGE,MA,426
SOUTH GRAFTON,MA,40
SOUTH LANCASTER,MA,4003
SPENCER,MA,851
STERLING,MA,887
STURBRIDGE,MA,300
UPTON,MA,1449
UXBRIDGE,MA,775
WEBSTER,MA,480
DUDLEY,MA,456
WESTBOROUGH,MA,1620
WEST BOYLSTON,MA,1223
WEST BROOKFIELD,MA,270
WEST MILLBURY,MA,1293
WHITINSVILLE,MA,137
SUTTON,MA,1245
WORCESTER,MA,1295
CHERRY VALLEY,MA,673
PAXTON,MA,1017
FRAMINGHAM,MA,1726
VILLAGE OF NAGOG WOODS,MA,2084
BOXBOROUGH,MA,976
ACTON,MA,1343
ASHLAND,MA,1458
BEDFORD,MA,4613
HANSCOM AFB,MA,4944
BOLTON,MA,1314
CARLISLE,MA,357
CONCORD,MA,1974
FAYVILLE,MA,77
HOLLISTON,MA,1522
HOPEDALE,MA,1039
HOPKINTON,MA,1423
HUDSON,MA,1401
MARLBOROUGH,MA,1395
MAYNARD,MA,1423
MENDON,MA,915
MILFORD,MA,1163
NATICK,MA,2358
SHERBORN,MA,2232
SOUTHBOROUGH,MA,1331
LINCOLN,MA,4228
STOW,MA,1205
SUDBURY,MA,1754
WAYLAND,MA,2353
WOODVILLE,MA,1433
WOBURN,MA,7059
BURLINGTON,MA,6457
ANDOVER,MA,1962
