AcceptsAndroidPay,AcceptsApplePay,AcceptsBitcoin,AcceptsCreditCards,AgesAllowed,Alcohol,Ambience,Attire,BestNights,BikeParking,ByAppointmentOnly,CannabisProducts,Caters,CoatCheck,Delivery,DogsAllowed,Drive-Thru,Fri,GenderNeutralRestrooms,GoodFor,GoodForDancing,GoodforGroups,GoodforKids,GoodforWorking,HappyHour,HasPoolTable,HasTV,Mon,Music,NoiseLevel,OffersMilitaryDiscount,OutdoorSeating,Parking,Sat,Smoking,Sun,Take-out,TakesReservations,Thu,Tue,WaiterService,Wed,WheelchairAccessible,Wi-Fi,area,claimed status,health inspect,id,latitude,longitude,price,rating,related0,related1,related2,review,tag,title,url
No,No,None,Yes,None,FullBar,Casual,Casual,None,Yes,None,None,Yes,None,No,None,None,8:00 am - 10:00 pm,None,"Breakfast,Brunch,Lunch",None,Yes,Yes,None,None,None,Yes,Closed,None,Average,None,No,Street,8:00 am - 10:00 pm,None,8:00 am - 6:00 pm,Yes,No,8:00 am - 9:00 pm,8:00 am - 9:00 pm,Yes,8:00 am - 9:00 pm,None,Free,MI Detroit Bagley,Claimed,None,kuzzos-chicken-and-waffles-detroit,42.4344461612,-83.1419555708,2.0,4.0,new-center-eatery-detroit,bakers-keyboard-lounge-detroit,motor-city-soul-food-detroit,247,"Southern,Waffles,Breakfast&Brunch",Kuzzos Chicken & Waffles,https://www.yelp.com/biz/kuzzos-chicken-and-waffles-detroit?osq=food
None,None,None,Yes,None,No,None,Casual,None,Yes,None,None,Yes,None,Yes,None,None,11:00 am - 7:00 pm,None,Lunch,None,No,Yes,None,None,None,No,Closed,None,Quiet,None,No,None,11:00 am - 7:00 pm,None,12:30 pm - 5:00 pm,Yes,No,11:00 am - 7:00 pm,11:00 am - 7:00 pm,No,11:00 am - 7:00 pm,None,No,MI Detroit Bagley,Claimed,None,chef-gregs-soul-n-the-wall-detroit,42.424164,-83.160839,1.0,5.0,bakers-keyboard-lounge-detroit,connie-and-barbaras-soul-food-restaurant-detroit,motor-city-soul-food-detroit,8,"American(New),SoulFood",Chef Greg’s Soul -N- The Wall,https://www.yelp.com/biz/chef-gregs-soul-n-the-wall-detroit?osq=food
No,None,None,Yes,None,No,Casual,Casual,None,No,None,None,Yes,None,No,None,None,10:00 am - 3:30 am,None,"Lunch,LateNight",None,Yes,Yes,None,None,None,No,10:00 am - 1:30 am,None,Average,None,No,PrivateLot,10:00 am - 3:30 am,None,12:00 pm - 1:00 am,Yes,No,10:00 am - 1:30 am,10:00 am - 1:30 am,No,10:00 am - 1:30 am,None,No,MI Detroit Bagley,Claimed,None,lous-deli-detroit,42.417295,-83.1527537,2.0,4.5,hygrade-deli-detroit,lous-deli-southfield,gonellas-foods-detroit,20,Delis,Lou’s Deli,https://www.yelp.com/biz/lous-deli-detroit?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MI Detroit Bagley,Unclaimed,None,grandfathers-place-detroit,42.4173215,-83.1504884,None,5.0,caribbean-citchen-detroit,lous-deli-detroit,toms-tavern-detroit,1,Restaurants,Grandfather’s Place,https://www.yelp.com/biz/grandfathers-place-detroit?osq=food
None,None,None,Yes,None,No,None,Casual,None,None,None,None,No,None,No,None,None,None,None,None,None,Yes,Yes,None,None,None,No,None,None,Quiet,None,No,None,None,None,None,Yes,No,None,None,No,None,None,No,MI Detroit Bagley,Unclaimed,None,china-wok-detroit,42.4285463,-83.1412619,1.0,4.5,china-ruby-ferndale,china-star-express-ferndale,golden-city-restaurant-madison-heights,5,Chinese,China Wok,https://www.yelp.com/biz/china-wok-detroit?osq=food
None,None,None,Yes,None,None,None,Casual,None,None,None,None,None,None,No,None,None,12:00 pm - 9:00 pm,None,None,None,None,None,None,None,None,None,Closed,None,None,None,None,None,12:00 pm - 9:00 pm,None,12:00 pm - 9:00 pm,Yes,None,12:00 pm - 9:00 pm,Closed,None,12:00 pm - 9:00 pm,None,None,MI Detroit Bagley,Unclaimed,None,babybacks-open-pit-detroit,42.4317672,-83.1440443,None,4.0,parks-old-style-bar-b-q-detroit,vickis-barbecue-and-shrimp-detroit,nunns-barbeque-detroit,8,Barbeque,BabyBacks Open Pit,https://www.yelp.com/biz/babybacks-open-pit-detroit?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1:00 pm - 10:00 pm,None,None,None,None,None,None,None,None,None,Closed,None,None,None,None,None,1:00 pm - 10:00 pm,None,Closed,None,None,1:00 pm - 10:00 pm,1:00 pm - 10:00 pm,None,1:00 pm - 10:00 pm,None,None,MI Detroit Bagley,Unclaimed,None,mr-fofos-detroit,42.4328416586,-83.1413930655,None,3.5,None,None,None,3,Sandwiches,Mr FoFo’s,https://www.yelp.com/biz/mr-fofos-detroit?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Closed,None,None,None,None,None,None,None,None,None,Closed,None,None,None,None,None,5:00 pm - 10:00 pm,None,Closed,None,None,Closed,Closed,None,Closed,None,None,MI Detroit Bagley,Claimed,None,social-sushi-detroit-detroit,42.4285282047,-83.1416156888,None,4.5,wasabi-korean-and-japanese-cuisine-detroit,o-sushi-japanese-restaurant-dearborn,midtown-shangri-la-detroit,2,SushiBars,Social Sushi Detroit,https://www.yelp.com/biz/social-sushi-detroit-detroit?osq=food
None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,10:00 am - 10:00 pm,None,None,None,None,None,None,None,None,None,10:00 am - 9:00 pm,None,None,None,None,None,10:00 am - 10:00 pm,None,11:00 am - 7:00 pm,None,None,10:00 am - 9:00 pm,10:00 am - 9:00 pm,None,10:00 am - 9:00 pm,None,None,MI Detroit Bagley,Unclaimed,None,blue-seas-fish-market-ferndale,42.4465228,-83.1431033,4.0,3.5,the-brewery-clinton-township,detroit-shrimp-and-fish-southfield,the-fish-market-dearborn,4,Seafood,Blue Seas Fish Market,https://www.yelp.com/biz/blue-seas-fish-market-ferndale?osq=food
None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes,No,None,None,None,None,None,None,MI Detroit Bagley,Unclaimed,None,8-mile-grill-coney-island-detroit,42.445535,-83.151414,None,4.0,thomass-family-dining-livonia,l-georges-coney-island-detroit-3,little-brothers-burgers-royal-oak,3,American(Traditional),8 Mile Grill Coney Island,https://www.yelp.com/biz/8-mile-grill-coney-island-detroit?osq=food
