AcceptsAndroidPay,AcceptsApplePay,AcceptsBitcoin,AcceptsCreditCards,AcceptsInsurance,Alcohol,Ambience,Attire,BestNights,BikeParking,ByAppointmentOnly,CannabisProducts,Caters,CoatCheck,Delivery,DogsAllowed,Drive-Thru,Fri,GoodFor,GoodForDancing,GoodforGroups,GoodforKids,GoodforWorking,HappyHour,HasPoolTable,HasTV,Mon,Music,NoiseLevel,OffersMilitaryDiscount,OutdoorSeating,Parking,Sat,Smoking,Sun,Take-out,TakesReservations,Thu,Tue,WaiterService,Wed,WheelchairAccessible,Wi-Fi,area,claimed status,health inspect,id,latitude,longitude,price,rating,related0,related1,related2,review,tag,title,url
No,Yes,No,Yes,,No,,Casual,,Yes,,,Yes,,Yes,No,Yes,6:30 am - 10:00 pm,Breakfast,,Yes,Yes,,,,No,6:30 am - 10:00 pm,,Average,,Yes,PrivateLot,6:30 am - 10:00 pm,,Closed,Yes,No,6:30 am - 10:00 pm,6:30 am - 10:00 pm,No,6:30 am - 10:00 pm,Yes,Free,NM Albuquerque Airport/Base,Claimed,,chick-fil-a-albuquerque-11,35.05797602,-106.6304684,1.0,4.5,the-grove-cafe-and-market-albuquerque,tia-betty-blues-albuquerque,central-grill-and-coffee-house-albuquerque,17,FastFood,Chick-fil-A,https://www.yelp.com/biz/chick-fil-a-albuquerque-11?osq=food
,,,Yes,,No,,Casual,,Yes,,,Yes,,No,,,8:00 am - 7:30 pm,"Breakfast,Lunch",,Yes,Yes,,,,No,8:00 am - 2:30 pm,,Average,,Yes,PrivateLot,8:00 am - 7:30 pm,,8:00 am - 5:30 pm,Yes,No,8:00 am - 7:30 pm,8:00 am - 2:30 pm,Yes,8:00 am - 7:30 pm,,Free,NM Albuquerque Airport/Base,Claimed,,el-sabor-de-juarez-albuquerque,35.0586094,-106.605208,1.0,4.0,el-modelo-mexican-foods-albuquerque,frontier-restaurant-albuquerque-2,little-anitas-albuquerque-14,28,Mexican,El Sabor De Juarez,https://www.yelp.com/biz/el-sabor-de-juarez-albuquerque?osq=food
,No,No,Yes,,No,Casual,Casual,,No,,,No,,No,No,,5:00 am - 9:00 pm,"Breakfast,Lunch",,No,Yes,Yes,,,No,5:00 am - 9:00 pm,,Average,,No,Garage,5:00 am - 9:00 pm,,5:00 am - 9:00 pm,Yes,No,5:00 am - 9:00 pm,5:00 am - 9:00 pm,No,5:00 am - 9:00 pm,Yes,Free,NM Albuquerque Airport/Base,Claimed,,black-mesa-coffee-company-albuquerque,35.0487943001,-106.616839265,1.0,3.5,the-grove-cafe-and-market-albuquerque,michael-thomas-coffee-albuquerque-3,frontier-restaurant-albuquerque-2,66,"American(Traditional),Coffee&Tea",Black Mesa Coffee Company,https://www.yelp.com/biz/black-mesa-coffee-company-albuquerque?osq=food
,,No,Yes,,No,"Divey,Casual",Casual,,No,,,No,,No,No,,7:00 am - 8:00 pm,Dinner,,Yes,Yes,,,,No,7:00 am - 8:00 pm,,Average,,No,PrivateLot,Closed,,Closed,Yes,No,7:00 am - 8:00 pm,7:00 am - 8:00 pm,No,7:00 am - 8:00 pm,,No,NM Albuquerque Airport/Base,Claimed,,little-anitas-albuquerque-14,35.0507024,-106.6316509,1.0,3.5,el-modelo-mexican-foods-albuquerque,k-and-i-diner-albuquerque,el-sabor-de-juarez-albuquerque,19,"Mexican,Salad,Sandwiches",Little Anita’s,https://www.yelp.com/biz/little-anitas-albuquerque-14?osq=food
No,No,No,Yes,,Beer&WineOnly,Casual,Casual,,Yes,,,Yes,,No,No,No,,Lunch,,Yes,Yes,,,,Yes,,,Average,,Yes,PrivateLot,,,,Yes,No,,,No,,Yes,Free,NM Albuquerque Airport/Base,Claimed,,fuddruckers-albuquerque-3,35.0576664,-106.6216431,2.0,3.5,village-inn-albuquerque-17,frontier-restaurant-albuquerque-2,black-mesa-coffee-company-albuquerque,46,"Burgers,American(Traditional)",Fuddruckers,https://www.yelp.com/biz/fuddruckers-albuquerque-3?osq=food
,No,,Yes,,No,Casual,Casual,,No,,,No,,No,,,6:00 am - 9:00 pm,"Breakfast,Brunch",,Yes,Yes,,,,Yes,6:00 am - 9:00 pm,,Average,,No,Garage,6:00 am - 7:00 pm,,6:00 am - 9:00 pm,Yes,No,6:00 am - 9:00 pm,6:00 am - 9:00 pm,Yes,6:00 am - 9:00 pm,,Free,NM Albuquerque Airport/Base,Unclaimed,,tia-juanitas-albuquerque,35.0482588,-106.6164253,2.0,2.5,el-modelo-mexican-foods-albuquerque,el-sabor-de-juarez-albuquerque,frontier-restaurant-albuquerque-2,87,Mexican,Tia Juanita’s,https://www.yelp.com/biz/tia-juanitas-albuquerque?osq=food
,Yes,,Yes,,Beer&WineOnly,Casual,Casual,,Yes,,,Yes,,Yes,,,11:00 am - 9:00 pm,"Lunch,Dinner",,Yes,Yes,,,,Yes,11:00 am - 9:00 pm,,Average,,Yes,PrivateLot,11:00 am - 9:00 pm,,Closed,Yes,Yes,11:00 am - 9:00 pm,11:00 am - 9:00 pm,Yes,11:00 am - 9:00 pm,Yes,Free,NM Albuquerque Airport/Base,Claimed,,kabob-house-albuquerque,35.0770897046,-106.619787812,2.0,4.0,yasmines-cafe-albuquerque,cafe-istanbul-albuquerque,sahara-middle-eastern-eatery-albuquerque,46,"MiddleEastern,Persian/Iranian",Kabob House,https://www.yelp.com/biz/kabob-house-albuquerque?osq=food
,,,Yes,,,,Casual,,No,,,,,No,,,10:30 am - 9:00 pm,,,Yes,Yes,,,,No,10:30 am - 9:00 am,,Average,,No,,10:30 am - 9:00 pm,,10:30 am - 9:00 pm,Yes,No,10:30 am - 9:00 pm,10:30 am - 9:00 pm,,10:30 am - 9:00 pm,No,Free,NM Albuquerque Airport/Base,Claimed,,panda-express-albuquerque-7,35.0491761,-106.6168027,1.0,3.5,golden-eggroll-express-albuquerque,mandarin-restaurant-albuquerque,kais-chinese-restaurant-albuquerque-2,11,"Chinese,FastFood",Panda Express,https://www.yelp.com/biz/panda-express-albuquerque-7?osq=food
,,,Yes,,No,,Casual,,,,,,,No,,,11:00 am - 9:00 pm,Lunch,,Yes,Yes,,,,No,11:00 am - 9:00 pm,,Quiet,,No,,11:00 am - 9:00 pm,,11:00 am - 9:00 pm,Yes,No,11:00 am - 9:00 pm,11:00 am - 9:00 pm,No,11:00 am - 9:00 pm,,,NM Albuquerque Airport/Base,Unclaimed,,golden-eggroll-express-albuquerque,35.0580164,-106.5760945,1.0,3.5,fu-yuang-korean-and-chinese-restaurant-albuquerque,chens-chinese-restaurant-albuquerque,kais-chinese-restaurant-albuquerque-2,12,Chinese,Golden Eggroll Express,https://www.yelp.com/biz/golden-eggroll-express-albuquerque?osq=food
No,No,,Yes,,No,Casual,Casual,,Yes,,,Yes,,No,No,,10:30 am - 11:00 pm,"Lunch,Dinner",,Yes,Yes,,,,No,10:30 am - 10:00 pm,,Average,,Yes,PrivateLot,10:30 am - 11:00 pm,,10:30 am - 10:00 pm,Yes,No,10:30 am - 10:00 pm,10:30 am - 10:00 pm,No,10:30 am - 10:00 pm,Yes,No,NM Albuquerque Airport/Base,Claimed,,dions-albuquerque-2,35.0586534659,-106.632386148,1.0,3.5,village-inn-albuquerque-17,il-vicino-wood-oven-pizza-albuquerque,giovannis-pizzeria-albuquerque,38,"Pizza,Sandwiches,Salad",Dion’s,https://www.yelp.com/biz/dions-albuquerque-2?osq=food
