,AcceptsAndroidPay,AcceptsApplePay,AcceptsBitcoin,AcceptsCreditCards,AgesAllowed,Alcohol,Ambience,Attire,BestNights,BikeParking,ByAppointmentOnly,CannabisProducts,Caters,CoatCheck,Delivery,DogsAllowed,Drive-Thru,Fri,GenderNeutralRestrooms,GoodFor,GoodForDancing,GoodforGroups,GoodforKids,GoodforWorking,HappyHour,HasPoolTable,HasTV,Mon,Music,NoiseLevel,OffersMilitaryDiscount,OutdoorSeating,Parking,Sat,Smoking,Sun,Take-out,TakesReservations,Thu,Tue,WaiterService,Wed,WheelchairAccessible,Wi-Fi,area,claimed status,health inspect,id,latitude,longitude,price,rating,related0,related1,related2,review,tag,title,url
0,No,No,,Yes,,FullBar,Casual,Casual,,Yes,,,Yes,,No,,,8:00 am - 10:00 pm,,"Breakfast,Brunch,Lunch",,Yes,Yes,,,,Yes,Closed,,Average,,No,Street,8:00 am - 10:00 pm,,8:00 am - 6:00 pm,Yes,No,8:00 am - 9:00 pm,8:00 am - 9:00 pm,Yes,8:00 am - 9:00 pm,,Free,MI Detroit Bagley,Claimed,,kuzzos-chicken-and-waffles-detroit,42.4344461611812,-83.1419555707948,Moderate,4.0,new-center-eatery-detroit,bakers-keyboard-lounge-detroit,motor-city-soul-food-detroit,247,"Southern,Waffles,Breakfast&Brunch",Kuzzos Chicken & Waffles,https://www.yelp.com/biz/kuzzos-chicken-and-waffles-detroit?osq=food
1,,,,Yes,,No,,Casual,,Yes,,,Yes,,Yes,,,11:00 am - 7:00 pm,,Lunch,,No,Yes,,,,No,Closed,,Quiet,,No,,11:00 am - 7:00 pm,,12:30 pm - 5:00 pm,Yes,No,11:00 am - 7:00 pm,11:00 am - 7:00 pm,No,11:00 am - 7:00 pm,,No,MI Detroit Bagley,Claimed,,chef-gregs-soul-n-the-wall-detroit,42.424164,-83.160839,Inexpensive,5.0,bakers-keyboard-lounge-detroit,connie-and-barbaras-soul-food-restaurant-detroit,motor-city-soul-food-detroit,8,"American(New),SoulFood",Chef Greg’s Soul -N- The Wall,https://www.yelp.com/biz/chef-gregs-soul-n-the-wall-detroit?osq=food
2,No,,,Yes,,No,Casual,Casual,,No,,,Yes,,No,,,10:00 am - 3:30 am,,"Lunch,LateNight",,Yes,Yes,,,,No,10:00 am - 1:30 am,,Average,,No,PrivateLot,10:00 am - 3:30 am,,12:00 pm - 1:00 am,Yes,No,10:00 am - 1:30 am,10:00 am - 1:30 am,No,10:00 am - 1:30 am,,No,MI Detroit Bagley,Claimed,,lous-deli-detroit,42.417295,-83.1527537,Moderate,4.5,hygrade-deli-detroit,lous-deli-southfield,gonellas-foods-detroit,20,Delis,Lou’s Deli,https://www.yelp.com/biz/lous-deli-detroit?osq=food
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI Detroit Bagley,Unclaimed,,grandfathers-place-detroit,42.4173215,-83.1504884,,5.0,caribbean-citchen-detroit,lous-deli-detroit,toms-tavern-detroit,1,Restaurants,Grandfather’s Place,https://www.yelp.com/biz/grandfathers-place-detroit?osq=food
4,,,,Yes,,No,,Casual,,,,,No,,No,,,,,,,Yes,Yes,,,,No,,,Quiet,,No,,,,,Yes,No,,,No,,,No,MI Detroit Bagley,Unclaimed,,china-wok-detroit,42.4285463,-83.1412619,Inexpensive,4.5,china-ruby-ferndale,china-star-express-ferndale,golden-city-restaurant-madison-heights,5,Chinese,China Wok,https://www.yelp.com/biz/china-wok-detroit?osq=food
5,,,,Yes,,,,Casual,,,,,,,No,,,12:00 pm - 9:00 pm,,,,,,,,,,Closed,,,,,,12:00 pm - 9:00 pm,,12:00 pm - 9:00 pm,Yes,,12:00 pm - 9:00 pm,Closed,,12:00 pm - 9:00 pm,,,MI Detroit Bagley,Unclaimed,,babybacks-open-pit-detroit,42.4317672,-83.1440443,,4.0,parks-old-style-bar-b-q-detroit,vickis-barbecue-and-shrimp-detroit,nunns-barbeque-detroit,8,Barbeque,BabyBacks Open Pit,https://www.yelp.com/biz/babybacks-open-pit-detroit?osq=food
6,,,,,,,,,,,,,,,,,,1:00 pm - 10:00 pm,,,,,,,,,,Closed,,,,,,1:00 pm - 10:00 pm,,Closed,,,1:00 pm - 10:00 pm,1:00 pm - 10:00 pm,,1:00 pm - 10:00 pm,,,MI Detroit Bagley,Unclaimed,,mr-fofos-detroit,42.4328416585922,-83.1413930654526,,3.5,,,,3,Sandwiches,Mr FoFo’s,https://www.yelp.com/biz/mr-fofos-detroit?osq=food
7,,,,,,,,,,,,,,,,,,Closed,,,,,,,,,,Closed,,,,,,5:00 pm - 10:00 pm,,Closed,,,Closed,Closed,,Closed,,,MI Detroit Bagley,Claimed,,social-sushi-detroit-detroit,42.4285282046855,-83.1416156888008,,4.5,wasabi-korean-and-japanese-cuisine-detroit,o-sushi-japanese-restaurant-dearborn,midtown-shangri-la-detroit,2,SushiBars,Social Sushi Detroit,https://www.yelp.com/biz/social-sushi-detroit-detroit?osq=food
8,,,,Yes,,,,,,,,,,,,,,10:00 am - 10:00 pm,,,,,,,,,,10:00 am - 9:00 pm,,,,,,10:00 am - 10:00 pm,,11:00 am - 7:00 pm,,,10:00 am - 9:00 pm,10:00 am - 9:00 pm,,10:00 am - 9:00 pm,,,MI Detroit Bagley,Unclaimed,,blue-seas-fish-market-ferndale,42.4465228,-83.1431033,Highend,3.5,the-brewery-clinton-township,detroit-shrimp-and-fish-southfield,the-fish-market-dearborn,4,Seafood,Blue Seas Fish Market,https://www.yelp.com/biz/blue-seas-fish-market-ferndale?osq=food
9,,,,Yes,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,Yes,No,,,,,,,MI Detroit Bagley,Unclaimed,,8-mile-grill-coney-island-detroit,42.445535,-83.151414,,4.0,thomass-family-dining-livonia,l-georges-coney-island-detroit-3,little-brothers-burgers-royal-oak,3,American(Traditional),8 Mile Grill Coney Island,https://www.yelp.com/biz/8-mile-grill-coney-island-detroit?osq=food
