AcceptsAndroidPay,AcceptsApplePay,AcceptsBitcoin,AcceptsCreditCards,AcceptsInsurance,AgesAllowed,Alcohol,Ambience,Attire,BestNights,BikeParking,ByAppointmentOnly,CannabisProducts,Caters,CoatCheck,Delivery,DogsAllowed,Drive-Thru,Fri,GoodFor,GoodForDancing,GoodforGroups,GoodforKids,GoodforWorking,HappyHour,HasPoolTable,HasTV,Mon,Music,NoiseLevel,OffersMilitaryDiscount,OutdoorSeating,Parking,Sat,Smoking,Sun,Take-out,TakesReservations,Thu,Tue,WaiterService,Wed,WheelchairAccessible,Wi-Fi,area,claimed status,health inspect,id,latitude,longitude,price,rating,related0,related1,related2,review,tag,title,url
Yes,No,,Yes,,,No,Casual,Casual,,Yes,,,Yes,,Yes,,,12:00 pm - 1:00 am,"Lunch,Dinner,LateNight",,Yes,Yes,,,,Yes,12:00 pm - 1:00 am,,Average,,No,Street,12:00 pm - 2:00 am,,2:00 pm - 1:00 am,Yes,No,12:00 pm - 1:00 am,12:00 pm - 1:00 am,Yes,12:00 pm - 1:00 am,,No,CA San_Francisco Alamo_Square,Unclaimed,72outof100,kebab-king-san-francisco,37.7797956034,-122.43197695,1.0,4.5,pakwan-restaurant-16th-street-san-francisco,lahore-karahi-san-francisco-2,palmyra-san-francisco,141,"Pakistani,Halal,Indian",Kebab King,https://www.yelp.com/biz/kebab-king-san-francisco?osq=food
,No,,Yes,,,Beer&WineOnly,Intimate,Casual,,Yes,,,No,,No,,,5:30 pm - 10:00 pm,Dinner,,Yes,No,,,,No,5:30 pm - 10:00 pm,,Average,,No,Street,5:30 pm - 10:00 pm,,5:00 pm - 9:00 pm,Yes,Yes,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,Yes,5:30 pm - 10:00 pm,Yes,No,CA San_Francisco Alamo_Square,Claimed,90outof100,alamo-square-seafood-grill-san-francisco,37.7769876597,-122.431572659,2.0,3.5,hog-island-oyster-co-san-francisco,anchor-oyster-bar-san-francisco,swan-oyster-depot-san-francisco,544,Seafood,Alamo Square Seafood Grill,https://www.yelp.com/biz/alamo-square-seafood-grill-san-francisco?osq=food
,No,,Yes,,,Beer&WineOnly,Intimate,Casual,,Yes,,,Yes,,Yes,No,,11:00 am - 2:30 pm5:00 pm - 9:30 pm,Dinner,,No,Yes,,,,No,5:00 pm - 9:30 pm,,Average,,No,Street,11:00 am - 2:30 pm5:00 pm - 9:30 pm,,11:00 am - 2:30 pm5:00 pm - 9:30 pm,Yes,Yes,11:00 am - 2:30 pm5:00 pm - 9:30 pm,11:00 am - 2:30 pm5:00 pm - 9:30 pm,Yes,11:00 am - 2:30 pm5:00 pm - 9:30 pm,No,No,CA San_Francisco Alamo_Square,Claimed,90outof100,saffron-grill-san-francisco,37.776823,-122.437746,2.0,4.0,little-delhi-san-francisco,pakwan-restaurant-16th-street-san-francisco,dosa-on-fillmore-san-francisco-3,402,Indian,Saffron Grill,https://www.yelp.com/biz/saffron-grill-san-francisco?osq=food
,No,,Yes,,,,,,,Yes,,,No,,,,,9:00 am - 9:00 pm,,,,,,,,,9:00 am - 10:00 pm,,,,,Street,9:00 am - 9:00 pm,,9:00 am - 9:00 pm,Yes,,9:00 am - 10:00 pm,9:00 am - 10:00 pm,,9:00 am - 10:00 pm,Yes,,CA San_Francisco Alamo_Square,Unclaimed,96outof100,green-earth-natural-foods-san-francisco,37.7777000228,-122.438134153,2.0,4.0,save-more-market-san-francisco,nabilas-health-foods-san-francisco,rainbow-grocery-san-francisco-2,118,"Grocery,HealthMarkets",Green Earth Natural Foods,https://www.yelp.com/biz/green-earth-natural-foods-san-francisco?osq=food
Yes,No,,Yes,,,FullBar,Trendy,Casual,,Yes,,,No,,No,,,5:00 pm - 1:00 am,Dinner,,Yes,No,,,,No,5:00 pm - 12:00 am,,Loud,,No,Street,11:00 am - 1:00 am,,11:00 am - 12:00 am,No,Yes,5:00 pm - 12:00 am,5:00 pm - 12:00 am,Yes,5:00 pm - 12:00 am,Yes,No,CA San_Francisco Alamo_Square,Claimed,93outof100,nopa-san-francisco,37.774905,-122.437506,3.0,4.0,zuni-caf%C3%A9-san-francisco-3,gary-danko-san-francisco,foreign-cinema-san-francisco,4371,"American(New),ModernEuropean",Nopa,https://www.yelp.com/biz/nopa-san-francisco?osq=food
No,Yes,,Yes,,,No,Casual,Casual,,Yes,,,No,,No,,,7:00 am - 5:00 pm,Breakfast,,No,No,Yes,,,No,7:00 am - 5:00 pm,,Quiet,,No,Street,8:00 am - 5:00 pm,,9:00 am - 4:00 pm,Yes,No,7:00 am - 5:00 pm,7:00 am - 5:00 pm,No,7:00 am - 5:00 pm,,Free,CA San_Francisco Alamo_Square,Claimed,92outof100,zo11-coffee-san-francisco,37.7789499,-122.4320979,1.0,5.0,cafe-murano-san-francisco,bean-bag-cafe-san-francisco,matching-half-cafe-san-francisco-4,55,"Coffee&Tea,Sandwiches,CoffeeRoasteries",Zo11 Coffee,https://www.yelp.com/biz/zo11-coffee-san-francisco?osq=food
,,,Yes,,,No,Casual,Casual,,Yes,,,Yes,,Yes,,,11:00 am - 1:00 am,"Lunch,Dinner",,Yes,Yes,,,,Yes,Closed,,Average,,No,Street,11:00 am - 1:00 am,,11:00 am - 1:00 am,Yes,No,11:00 am - 3:00 pm5:00 pm - 12:00 am,11:00 am - 3:00 pm5:00 pm - 12:00 am,Yes,11:00 am - 3:00 pm5:00 pm - 12:00 am,Yes,Free,CA San_Francisco Alamo_Square,Claimed,80outof100,tsing-tao-restaurant-san-francisco-2,37.7799703,-122.432175,1.0,3.0,wok-shop-cafe-san-francisco,wing-lum-san-francisco,kim-thanh-restaurant-san-francisco,119,Chinese,Tsing Tao Restaurant,https://www.yelp.com/biz/tsing-tao-restaurant-san-francisco-2?osq=food
No,No,,Yes,,,,,,,Yes,,,Yes,,,,,7:30 am - 2:00 am,,,,,,,,,7:30 am - 10:15 pm,,,,,Street,9:15 am - 2:00 am,,9:15 am - 10:15 pm,Yes,,7:30 am - 10:15 pm,7:30 am - 10:15 pm,,7:30 am - 10:15 pm,Yes,,CA San_Francisco Alamo_Square,Claimed,94outof100,h-and-w-liquors-san-francisco,37.7759347,-122.429636,1.0,4.5,victoria-liquors-and-groceries-san-francisco,healthy-spirits-san-francisco,georges-market-san-francisco-3,27,"Beer,Wine&Spirits",H & W Liquors,https://www.yelp.com/biz/h-and-w-liquors-san-francisco?osq=food
Yes,No,No,Yes,,,FullBar,,Casual,"Wed,Thu,Fri",No,,,,No,No,,,5:00 pm - 2:00 am,,No,Yes,No,,No,No,No,5:00 pm - 2:00 am,,Average,,No,Street,11:00 am - 2:00 am,OutdoorArea/PatioOnly,11:00 am - 2:00 am,No,No,5:00 pm - 2:00 am,5:00 pm - 2:00 am,,5:00 pm - 2:00 am,Yes,,CA San_Francisco Alamo_Square,Claimed,,horsefeather-san-francisco-2,37.7745106,-122.437388,2.0,4.0,bar-821-san-francisco,fly-bar-san-francisco,mini-bar-sf-san-francisco,80,"CocktailBars,American(New)",Horsefeather,https://www.yelp.com/biz/horsefeather-san-francisco-2?osq=food
,No,,Yes,,,Beer&WineOnly,Casual,Casual,,Yes,,,Yes,,No,,,4:00 pm - 10:30 pm,Dinner,,Yes,Yes,,,,Yes,5:00 pm - 9:30 pm,,Average,,No,Street,3:00 pm - 10:30 pm,,3:00 pm - 9:30 pm,Yes,No,5:00 pm - 9:30 pm,5:00 pm - 9:30 pm,Yes,5:00 pm - 9:30 pm,Yes,No,CA San_Francisco Alamo_Square,Claimed,91outof100,little-star-pizza-san-francisco,37.7775481,-122.4380073,2.0,4.5,pizzeria-delfina-san-francisco-san-francisco,pizzetta-211-san-francisco,golden-boy-pizza-san-francisco,2572,Pizza,Little Star Pizza,https://www.yelp.com/biz/little-star-pizza-san-francisco?osq=food
